,Weighted Average,Direct Average,Block-Match,Text,Position,Color,CLIP,Intermediate Average
gpt4o,0.9071101124300291,0.9067460630233773,0.9302451294802322,0.9836165076357072,0.8594924582894239,0.8526593582704076,0.9077168614411157,0.9065033634189427
qwen2_vl-7b_3072_bsz8_web2code,0.8618064215587289,0.8432628936184496,0.8484546835221757,0.9357749404377504,0.7836209817008895,0.7557515609722386,0.8927123014591942,0.8309005416582635
qwen2_vl_coder_mn_pretrain_LLM_sft-7b_3072_bsz128_1e4_web2code_job_1000,0.8424048239312575,0.8201159662884624,0.7674748095062717,0.9414998497583078,0.7710050564165954,0.7410471957585543,0.8795529200025827,0.8052567278599323
qwen2_vl_coder_mn_pretrain_LLM_sft-7b_3072_bsz128_1e4_web2code_job_1500,0.8421367852832454,0.8184565146401761,0.7805017990927581,0.9373930341472168,0.7559124344492939,0.7368714024899176,0.8816039030216942,0.8026696675447966
qwen2_vl_coder_mn_pretrain_LLM_sft-7b_3072_bsz128_1e4_web2code_job_2000,0.8339040143211748,0.8087730725781359,0.762158292275919,0.9169970124346479,0.751199127062966,0.7377220138909071,0.8757889172262396,0.7920191114161099
qwen2_vl,0.8274120648830845,0.8034172680433072,0.7930188927457166,0.9325774909944792,0.738288978606633,0.6857975849203269,0.8674033929493802,0.7874207368167889
qwen2_vl_coder_mn_pretrain_LLM_sft-7b_3072_bsz128_1e4_web2code_job_3000,0.8298312922636744,0.8025950840862386,0.7519294485497785,0.917046723745077,0.7349839077938327,0.7337903677831032,0.8752249725594008,0.7844376119679479
mini_cpm,0.8118819415905463,0.7935486113873326,0.8511521724401239,0.9683977626836091,0.6633151945311728,0.6424404353525217,0.8424374919292356,0.7813263912518569
qwen2_vl_coder_mn_pretrain_LLM_sft-7b_3072_bsz128_1e4_web2code_job,0.8221189453714781,0.78934373621265,0.7449719290774958,0.893144919364794,0.7181595986436649,0.7136979400077708,0.8767442939695248,0.7674935967734313
llava_onevision,0.7904304043996319,0.7554647721039771,0.708389491872846,0.8717610364615596,0.7013999302152989,0.6470669437444578,0.8487064582257231,0.7321543505735406
llama3.2_vl_batch,0.7878069349025973,0.751392519527007,0.7106657484391337,0.864376744889612,0.6952926029634436,0.6381298741475978,0.8484976271952479,0.7271162426099469
qwen2_vl_coder_mn_only-7b_3072_bsz64_test_job,0.43598281283177415,0.23606560809798735,0.05507763384995591,0.11947868775447174,0.12075488688938908,0.11583867794136801,0.7691781540547521,0.10278747160879617
